"Código","Unidade Territorial","UF","Referência","Número de famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Número de famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor médio do benefício do Programa Bolsa Família (até outubro/2021)","Valor médio do benefício do Programa Bolsa Família (a partir de março/2023)"
"250010","ÁGUA BRANCA","PB","07/2007","1458","","104071","","71,38",""
"250010","ÁGUA BRANCA","PB","02/2016","1759","","410867,00","","233,58",""
"250010","ÁGUA BRANCA","PB","03/2016","1774","","414740,00","","233,79",""
"250010","ÁGUA BRANCA","PB","02/2007","1499","","106552","","71,08",""
"250010","ÁGUA BRANCA","PB","04/2007","1493","","106329","","71,22",""
"250010","ÁGUA BRANCA","PB","09/2007","1434","","120080","","83,74",""
"250010","ÁGUA BRANCA","PB","11/2005","1233","","91994","","74,61",""
"250010","ÁGUA BRANCA","PB","10/2020","1556","","55722","","35,81",""
"250010","ÁGUA BRANCA","PB","03/2026","","1819","","1245607","","684,78"
"250010","ÁGUA BRANCA","PB","09/2005","1130","","85572","","75,73",""
"250010","ÁGUA BRANCA","PB","10/2005","1130","","84580","","74,85",""
"250010","ÁGUA BRANCA","PB","02/2026","","1785","","1213731","","679,96"
"250010","ÁGUA BRANCA","PB","03/2024","","1867","","1270515","","681,24"
"250010","ÁGUA BRANCA","PB","05/2024","","1872","","1277251,0","","682,29"
"250010","ÁGUA BRANCA","PB","06/2024","","1876","","1285052,0","","685,00"
"250010","ÁGUA BRANCA","PB","07/2024","","1896","","1299397,0","","685,34"
"250010","ÁGUA BRANCA","PB","08/2024","","1883","","1289324,0","","684,72"
"250010","ÁGUA BRANCA","PB","09/2024","","1886","","1290212,0","","684,10"
"250010","ÁGUA BRANCA","PB","10/2024","","1918","","1304269,0","","680,02"
"250010","ÁGUA BRANCA","PB","11/2024","","1910","","1292476,0","","677,04"
"250010","ÁGUA BRANCA","PB","12/2024","","1922","","1305103,0","","679,39"
"250010","ÁGUA BRANCA","PB","01/2021","1555","","408346","","262,60",""
"250010","ÁGUA BRANCA","PB","08/2025","","1831","","1243854","","679,33"
"250010","ÁGUA BRANCA","PB","12/2008","1412","","135298","","95,82",""
"250010","ÁGUA BRANCA","PB","08/2021","1567","","294562","","187,98",""
"250010","ÁGUA BRANCA","PB","07/2021","1570","","293523","","186,96",""
"250010","ÁGUA BRANCA","PB","06/2021","1570","","293085","","186,68",""
"250010","ÁGUA BRANCA","PB","05/2021","1570","","292314","","186,19",""
"250010","ÁGUA BRANCA","PB","04/2021","1552","","290777","","187,36",""
"250010","ÁGUA BRANCA","PB","03/2021","1552","","402449","","259,31",""
"250010","ÁGUA BRANCA","PB","02/2021","1546","","404002","","261,32",""
"250010","ÁGUA BRANCA","PB","09/2008","1429","","136010,00","","95,18",""
"250010","ÁGUA BRANCA","PB","03/2008","1431","","123455","","86,27",""
"250010","ÁGUA BRANCA","PB","10/2008","1416","","133802","","94,49",""
"250010","ÁGUA BRANCA","PB","08/2008","1430","","135198","","94,54",""
"250010","ÁGUA BRANCA","PB","01/2018","1705","","433816","","254,44",""
"250010","ÁGUA BRANCA","PB","02/2018","1698","","430121","","253,31",""
"250010","ÁGUA BRANCA","PB","03/2018","1711","","431087","","251,95",""
"250010","ÁGUA BRANCA","PB","04/2018","1666","","418432","","251,16",""
"250010","ÁGUA BRANCA","PB","05/2018","1660","","415725","","250,44",""
"250010","ÁGUA BRANCA","PB","06/2018","1640","","407408","","248,42",""
"250010","ÁGUA BRANCA","PB","11/2008","1419","","135638","","95,59",""
"250010","ÁGUA BRANCA","PB","02/2008","1437","","120633","","83,95",""
"250010","ÁGUA BRANCA","PB","05/2008","1440","","125903,00","","87,43",""
"250010","ÁGUA BRANCA","PB","07/2008","1438","","135710","","94,37",""
"250010","ÁGUA BRANCA","PB","04/2008","1433","","124239","","86,70",""
"250010","ÁGUA BRANCA","PB","12/2018","1591","","413852","","260,12",""
"250010","ÁGUA BRANCA","PB","11/2018","1622","","421139","","259,64",""
